economy,flows,products,is_subtotal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01AUS,14 Industry sector,07.17 Other products,True,0.0,0.0,0.0,8.360005,8.120006,8.400006,6.920002,6.600005,9.320009,9.000004,3.720005,30.712527,33.078718,22.592475,22.318361,17.078393,14.727036,14.56396,16.168957,16.39172,16.189129,17.251203,17.792276
01AUS,14 Industry sector,07.99 PetProd nonspecified,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,08 Gas,True,300.015897,321.554706,319.438797,334.629002,343.250105,320.515199,312.889495,330.709504,327.482097,298.559691,298.926898,301.950898,301.234499,294.551998,294.376495,279.636301,270.853998,263.223496,261.279946,256.031018,257.53472,265.851647,259.364276
01AUS,14 Industry sector,08.01 Natural gas,True,297.975599,319.500004,315.928798,331.114502,339.696005,316.1061,312.889495,330.709504,327.482097,298.518292,298.840499,301.700699,301.234499,294.551998,294.338697,279.636301,270.853998,263.223496,261.279946,256.031018,257.53472,265.851647,259.364276
01AUS,14 Industry sector,08.02 LNG,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,08.03 Gas works gas,True,2.040299,2.054701,3.51,3.5145,3.554099,4.409098,0.0,0.0,0.0,0.041399,0.086399,0.250199,0.0,0.0,0.037798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,08.99 Gas nonspecified,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,09 Nuclear,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,10 Hydro,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,11 Geothermal,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,12 Solar,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,12.01 of which: Photovoltaics,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,12.99 Solar nonspecified,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,"13 Tide, wave, ocean",True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,14 Wind,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,15 Solid biomass,True,95.542998,93.953002,100.458,60.809004,62.441998,64.380001,65.136003,67.900999,68.7,79.807994,106.229997,102.387001,102.134005,112.485001,105.326997,115.144997,114.334001,122.273702,111.983,103.263005,96.231002,101.550005,99.596
01AUS,14 Industry sector,15.01 Fuelwood & woodwaste,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,15.02 Bagasse,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,15.03 Charcoal,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,15.04 Black liqour,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,15.05 Other biomass,True,95.542998,93.953002,100.458,60.809004,62.441998,64.380001,65.136003,67.900999,68.7,79.807994,106.229997,102.387001,102.134005,112.485001,105.326997,115.144997,114.334001,122.273702,111.983,103.263005,96.231002,101.550005,99.596
01AUS,14 Industry sector,16 Others,True,7.489997,5.881001,6.179001,6.317998,6.583002,4.492001,4.597998,4.486001,4.591002,3.955002,4.49,4.967998,5.200001,5.130995,4.706005,4.687001,5.008995,4.752638,4.772002,4.612999,4.836997,5.163003,4.894005
01AUS,14 Industry sector,16.01 Biogas,True,0.0,0.0,0.0,0.118001,0.119001,0.218999,0.253,0.250002,0.259004,0.177001,0.321998,0.691998,0.672999,0.519996,0.529002,0.788002,1.093998,0.98211,0.987,1.003999,1.151998,1.399002,1.275002
01AUS,14 Industry sector,16.02 Industrial waste,True,7.489997,5.881001,6.179001,6.199998,6.464001,4.273002,4.344998,4.235999,4.331998,3.778001,4.168001,4.276,4.527003,4.610998,4.177003,3.898999,3.914997,3.770527,3.785001,3.609001,3.684999,3.764,3.619003
01AUS,14 Industry sector,16.03 Municipal solid waste (renewable),True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,16.04 Municipal solid waste (non-renewable),True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,16.05 Biogasoline,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,16.06 Biodiesel,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,16.07 Bio jet kerosene,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,16.08 Other liquid biofuels,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,16.09 Other sources,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,17 Electricity,True,277.297198,303.904798,315.730804,259.635601,263.030401,266.616002,272.376,284.101201,281.53079,294.816976,302.671631,299.00723,293.219415,291.903838,292.969203,283.959477,286.434546,276.942568,280.433798,281.1464,279.516236,282.884366,283.067078
01AUS,14 Industry sector,18 Heat,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,19 Total,True,996.147848,1022.425273,975.044605,923.345074,941.970966,932.513567,928.022692,954.630857,970.206683,947.448958,946.438558,974.300268,988.254198,995.983835,988.838282,943.646724,947.395493,937.047712,950.202692,940.237091,929.842698,956.480556,950.201713
01AUS,14 Industry sector,20 Total Renewables,True,95.542998,93.953002,100.458,60.927004,62.560999,64.599,65.389003,68.151001,68.959003,79.984996,106.551996,103.078999,102.807004,113.004998,105.855999,115.932999,115.427999,123.255812,112.97,104.267004,97.383,102.949007,100.871002
01AUS,14 Industry sector,21 Modern renewables,True,118.784991,118.564595,125.277342,82.842064,84.094378,88.07109,90.718085,92.720279,91.805952,102.090179,132.577198,134.043253,133.573024,151.310971,148.625087,153.700624,156.952547,166.452742,160.733211,159.351,160.238674,178.023788,187.919576
01AUS,15 Transport sector,01 Coal,True,3.6956,4.601021,2.420619,3.344516,3.824947,7.594457,6.55969,7.02164,7.594457,7.37272,3.917338,2.79018,2.402139,0.0,0.0,0.025699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,01.01 Coking coal,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,01.02 Other bituminous coal,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,01.03 Sub-bituminous coal,True,3.6956,4.601021,2.420619,3.344516,3.824947,7.594457,6.55969,7.02164,7.594457,7.37272,3.917338,2.79018,2.402139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,01.04 Anthracite,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,01.05 Lignite,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,01.99 Coal nonspecified,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,02 Coal products,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,02.01 Coke oven coke,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,02.02 Gas coke,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,02.03 Coke oven gas,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,02.04 Blast furnace gas,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,02.05 Other recovered gases,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,02.06 Patent fuel,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,02.07 Coal tar,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,02.08 BKB/PB,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,03 Peat,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,04 Peat products,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,05 Oil shale and oil sands,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,06 Crude oil & NGL,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,06.01 Crude oil,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,15 Transport sector,06.02 Natural gas liquids,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
