Economy,Scenario,Branch Path,Variable,Year,Value,Units,Source,Comment,Input Status
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy,Stock Share,2022,51.65389554350619,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Biodiesel,Fuel Economy,2022,2082.326571040763,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Biodiesel,Mileage,2022,32554.79799091055,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Biogas,Fuel Economy,2022,1879.290705100549,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Biogas,Mileage,2022,31468.54547885471,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Biogasoline,Fuel Economy,2022,1707.275650308641,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Biogasoline,Mileage,2022,31744.04146989121,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Efuel,Fuel Economy,2022,2012.845799900817,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Efuel,Mileage,2022,31468.54547885471,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Gas and diesel oil,Fuel Economy,2022,2013.467792444939,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Gas and diesel oil,Mileage,2022,31478.26962198738,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\LNG,Fuel Economy,2022,1446.757790848192,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\LNG,Mileage,2022,31468.54547885473,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\LPG,Fuel Economy,2022,1162.699372439948,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\LPG,Mileage,2022,31505.19924792392,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Motor gasoline,Fuel Economy,2022,1693.380217017395,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Motor gasoline,Mileage,2022,31485.67826383267,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Natural gas,Fuel Economy,2022,1879.249915411592,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy\Natural gas,Mileage,2022,31467.8624593631,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium,Sales Share,2022,40.0,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium,Stock Share,2022,48.34610445649381,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Biodiesel,Fuel Economy,2022,1755.537442404235,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Biodiesel,Mileage,2022,27487.11653967417,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Biogas,Fuel Economy,2022,1563.662116515061,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Biogas,Mileage,2022,26569.95682027647,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Biogasoline,Fuel Economy,2022,1407.337794135949,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Biogasoline,Mileage,2022,26802.56739933605,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Efuel,Fuel Economy,2022,1696.96060966357,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Efuel,Mileage,2022,26569.95682027647,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Gas and diesel oil,Fuel Economy,2022,1697.484990044289,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Gas and diesel oil,Mileage,2022,26578.16724307224,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\LNG,Fuel Economy,2022,1205.631492373492,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\LNG,Mileage,2022,26569.95682027647,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\LPG,Fuel Economy,2022,964.6471605391456,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\LPG,Mileage,2022,26600.90483667346,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Motor gasoline,Fuel Economy,2022,1395.883540434662,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Motor gasoline,Mileage,2022,26584.42260984979,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Natural gas,Fuel Economy,2022,1563.628177491581,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE medium\Natural gas,Mileage,2022,26569.38012382852,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy,Sales Share,2022,3.0,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy,Stock Share,2022,0.0,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Biodiesel,Fuel Economy,2022,838.4280238008466,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Biodiesel,Mileage,2022,32554.79799091055,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Biogasoline,Fuel Economy,2022,838.2882010791222,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Biogasoline,Mileage,2022,31744.04146989121,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Efuel,Fuel Economy,2022,810.4522843327054,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Efuel,Mileage,2022,31468.54547885471,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Electricity,Fuel Economy,2022,831.01297624836,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Electricity,Mileage,2022,31468.54547885471,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Gas and diesel oil,Fuel Economy,2022,810.7027234265729,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Gas and diesel oil,Mileage,2022,31478.26962198738,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Motor gasoline,Fuel Economy,2022,831.4654142755809,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV heavy\Motor gasoline,Mileage,2022,31485.67826383267,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium,Sales Share,2022,5.0,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium,Stock Share,2022,0.0,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Biodiesel,Fuel Economy,2022,698.6900198340388,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Biodiesel,Mileage,2022,27487.11653967417,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Biogasoline,Fuel Economy,2022,698.5735008992681,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Biogasoline,Mileage,2022,26802.56739933604,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Efuel,Fuel Economy,2022,675.3769036105879,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Efuel,Mileage,2022,26569.95682027646,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Electricity,Fuel Economy,2022,692.5108135402995,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Electricity,Mileage,2022,26569.95682027646,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Gas and diesel oil,Fuel Economy,2022,675.5856028554774,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Gas and diesel oil,Mileage,2022,26578.16724307223,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Motor gasoline,Fuel Economy,2022,692.8878452296502,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\PHEV medium\Motor gasoline,Mileage,2022,26584.42260984979,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Passenger road,Passenger Saturation Reached,2022,1.0,Boolean,apec_passenger_vehicle_saturation.csv,Lenient passenger saturation reached flag from apec_passenger_vehicle_saturation.csv; reached_saturation_lenient=True.,default
01AUS,Current Accounts,Demand\Passenger road,Passenger Vehicle Saturation,2022,860.0,Device,apec_passenger_vehicle_saturation.csv,"Passenger saturation from apec_passenger_vehicle_saturation.csv; lower=780, upper=920, grade=B, status=synthetic_estimate.",default
01AUS,Current Accounts,Demand\Passenger road,Reconciliation Bound Lower Efficiency,2022,0.9,Share,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (passenger).,default
01AUS,Current Accounts,Demand\Passenger road,Reconciliation Bound Lower Mileage,2022,0.85,Share,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (passenger).,default
01AUS,Current Accounts,Demand\Passenger road,Reconciliation Bound Upper Efficiency,2022,1.1,Share,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (passenger).,default
01AUS,Current Accounts,Demand\Passenger road,Reconciliation Bound Upper Mileage,2022,1.15,Share,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (passenger).,default
01AUS,Current Accounts,Demand\Passenger road,Reconciliation Weight Efficiency,2022,0.25,Weight,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (passenger).,default
01AUS,Current Accounts,Demand\Passenger road,Reconciliation Weight Mileage,2022,0.25,Weight,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (passenger).,default
01AUS,Current Accounts,Demand\Passenger road,Reconciliation Weight Stock,2022,0.5,Weight,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (passenger).,default
01AUS,Current Accounts,Demand\Passenger road,Stock,2022,14398937.77610018,Device,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Passenger road\Age 0,Survival Rate,2022,100.0,Share,vehicle_survival_modified_00_APEC.xlsx,"Survival Rate imported from vehicle_survival_modified_00_APEC.xlsx; transport=passenger, age=0.",default
01AUS,Current Accounts,Demand\Passenger road\Age 0,Vintage Profile Share,2022,0.0,Share,vintage_modelled_from_survival_00_APEC.xlsx,"Vintage Profile Share imported from vintage_modelled_from_survival_00_APEC.xlsx; transport=passenger, age=0.",default
01AUS,Current Accounts,Demand\Passenger road\Age 1,Survival Rate,2022,98.35050884439848,Share,vehicle_survival_modified_00_APEC.xlsx,"Survival Rate imported from vehicle_survival_modified_00_APEC.xlsx; transport=passenger, age=1.",default
01AUS,Current Accounts,Demand\Passenger road\Age 1,Vintage Profile Share,2022,6.87728133222157,Share,vintage_modelled_from_survival_00_APEC.xlsx,"Vintage Profile Share imported from vintage_modelled_from_survival_00_APEC.xlsx; transport=passenger, age=1.",default
01AUS,Current Accounts,Demand\Passenger road\Age 10,Survival Rate,2022,69.05522820797384,Share,vehicle_survival_modified_00_APEC.xlsx,"Survival Rate imported from vehicle_survival_modified_00_APEC.xlsx; transport=passenger, age=10.",default
01AUS,Current Accounts,Demand\Passenger road\Age 10,Vintage Profile Share,2022,4.828772493677316,Share,vintage_modelled_from_survival_00_APEC.xlsx,"Vintage Profile Share imported from vintage_modelled_from_survival_00_APEC.xlsx; transport=passenger, age=10.",default
01AUS,Current Accounts,Demand\Passenger road\Age 11,Survival Rate,2022,64.21181670816591,Share,vehicle_survival_modified_00_APEC.xlsx,"Survival Rate imported from vehicle_survival_modified_00_APEC.xlsx; transport=passenger, age=11.",default
01AUS,Current Accounts,Demand\Passenger road\Age 11,Vintage Profile Share,2022,4.490090936425835,Share,vintage_modelled_from_survival_00_APEC.xlsx,"Vintage Profile Share imported from vintage_modelled_from_survival_00_APEC.xlsx; transport=passenger, age=11.",default
01AUS,Current Accounts,Demand\Passenger road\Age 12,Survival Rate,2022,59.31466604642736,Share,vehicle_survival_modified_00_APEC.xlsx,"Survival Rate imported from vehicle_survival_modified_00_APEC.xlsx; transport=passenger, age=12.",default
