Branch Path,Variable,Scenario,Region,Units,expected_unit,unit_check_status,notes
Demand\Freight road\Age 22,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 23,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 23,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 24,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 24,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 25,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 25,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 26,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 26,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 27,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 27,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 28,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 28,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 29,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 29,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 3,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 3,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 30,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 30,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 4,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 4,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 5,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 5,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 6,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 6,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 7,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 7,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 8,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 8,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 9,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 9,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\LCVs,Mileage,Reference,Papua New Guinea,Kilometer,Kilometer,pass,
Demand\Freight road\LCVs\BEV,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
